Book_Title,Original_Book_Title,Author_Name,Edition_Language,Rating_score,Rating_votes,Review_number,Year_published,Genres,url
Tempting Tara,B0056UEUKK,Angela Castle,English,3.73,949,26,2011,"{'Science Fiction (Aliens) ': 27, 'Science Fiction': 22, 'Romance': 18, 'Adult Fiction (Erotica) ': 11, 'Romance (Science Fiction Romance) ': 9, 'Romance (Paranormal Romance) ': 6, 'Fantasy': 5, 'Fantasy (Paranormal) ': 4, 'Futuristic': 4, 'Contemporary': 2}",https://www.goodreads.com/book/show/11789964-tempting-tara
Slave Auction,Slave Auction,Stormy Glenn,English,3.63,1219,87,2010,"{'Romance (M M Romance) ': 60, 'Science Fiction': 51, 'Erotica (BDSM) ': 35, 'Science Fiction (Aliens) ': 27, 'Romance': 18, 'Fantasy': 18, 'LGBT (Gay) ': 17, 'Adult Fiction (Erotica) ': 15, 'Paranormal (Shapeshifters) ': 11, 'Fantasy (Paranormal) ': 11}",https://www.goodreads.com/book/show/21843193-slave-auction
Outcast,Outcast,Cheryl Brooks,English,3.99,1544,105,2009,"{'Romance': 74, 'Science Fiction': 48, 'Fantasy (Paranormal) ': 40, 'Adult Fiction (Erotica) ': 31, 'Fantasy': 29, 'Romance (Paranormal Romance) ': 28, 'Science Fiction (Aliens) ': 27, 'Futuristic': 15, 'Romance (Science Fiction Romance) ': 14, 'Science Fiction R... (Futuristic Romance) ': 9}",https://www.goodreads.com/book/show/6193612-outcast
The Decision,The Decision,K.A. Applegate,English,3.81,3201,90,1998,"{'Science Fiction': 117, 'Young Adult': 84, 'Fiction': 66, 'Fantasy': 42, 'Childrens': 32, 'Science Fiction (Aliens) ': 27, 'Childrens (Middle Grade) ': 23, 'Animals': 15, 'Adventure': 13, 'War': 8}",https://www.goodreads.com/book/show/363406.The_Decision
The Pretender,The Pretender,K.A. Applegate,English,3.94,3032,106,1998,"{'Science Fiction': 106, 'Young Adult': 77, 'Fiction': 55, 'Fantasy': 39, 'Childrens': 29, 'Science Fiction (Aliens) ': 27, 'Childrens (Middle Grade) ': 23, 'Animals': 16, 'Adventure': 14, 'War': 8}",https://www.goodreads.com/book/show/363421.The_Pretender
The Threat,The Threat,K.A. Applegate,English,3.86,2890,95,1998,"{'Science Fiction': 113, 'Young Adult': 86, 'Fiction': 54, 'Fantasy': 37, 'Childrens': 30, 'Science Fiction (Aliens) ': 27, 'Childrens (Middle Grade) ': 24, 'Animals': 18, 'Adventure': 12, 'Young Adult (Teen) ': 8}",https://www.goodreads.com/book/show/363361.The_Threat
The Warning,The Warning,K.A. Applegate,English,3.76,3447,115,1998,"{'Science Fiction': 120, 'Young Adult': 89, 'Fiction': 63, 'Fantasy': 43, 'Childrens': 33, 'Science Fiction (Aliens) ': 27, 'Childrens (Middle Grade) ': 24, 'Animals': 18, 'Adventure': 12, 'Paranormal (Shapeshifters) ': 6}",https://www.goodreads.com/book/show/363405.The_Warning
The Escape,The Escape,K.A. Applegate,English,3.81,3630,113,1998,"{'Science Fiction': 126, 'Young Adult': 97, 'Fiction': 67, 'Fantasy': 47, 'Childrens': 36, 'Science Fiction (Aliens) ': 27, 'Childrens (Middle Grade) ': 26, 'Animals': 20, 'Adventure': 13, 'Novels': 6}",https://www.goodreads.com/book/show/363355.The_Escape
The Reaction,The Reaction,K.A. Applegate,English,3.74,4075,135,1997,"{'Science Fiction': 137, 'Young Adult': 101, 'Fiction': 74, 'Fantasy': 49, 'Childrens': 40, 'Childrens (Middle Grade) ': 29, 'Science Fiction (Aliens) ': 27, 'Animals': 19, 'Adventure': 13, 'Paranormal (Shapeshifters) ': 7}",https://www.goodreads.com/book/show/815401.The_Reaction
Footfall,Footfall,Larry Niven,English,3.92,15523,419,1985,"{'Science Fiction': 662, 'Fiction': 165, 'Science Fiction Fantasy': 33, 'Science Fiction (Aliens) ': 27, 'Apocalyptic (Post Apocalyptic) ': 15, 'War': 13, 'Audiobook': 11, 'Fantasy': 11, 'Science Fiction (Apocalyptic) ': 9, 'Novels': 9}",https://www.goodreads.com/book/show/116356.Footfall
Aliens: Earth Hive,Aliens: Earth Hive,Steve Perry,English,3.89,2589,121,1992,"{'Science Fiction': 92, 'Horror': 53, 'Science Fiction (Aliens) ': 27, 'Fiction': 24, 'Media Tie In': 4, 'Novels': 3, 'Thriller': 3, 'Science Fiction Fantasy': 3, 'Science Fiction (Military Science Fiction) ': 2, 'Fantasy': 2}",https://www.goodreads.com/book/show/343281.Aliens
Gabriel's Ghost,Gabriel's Ghost,Linnea Sinclair,English,3.63,3663,357,2002,"{'Romance': 305, 'Science Fiction': 260, 'Romance (Science Fiction Romance) ': 71, 'Space (Space Opera) ': 49, 'Fiction': 42, 'Futuristic': 40, 'Fantasy': 40, 'Fantasy (Paranormal) ': 31, 'Science Fiction (Aliens) ': 27, 'Space': 23}",https://www.goodreads.com/book/show/352726.Gabriel_s_Ghost
The Alien's Ransom,B0846CZW6S,Ella Maven,English,4.11,993,128,2020,"{'Science Fiction (Aliens) ': 26, 'Romance': 22, 'Science Fiction': 17, 'Romance (Science Fiction Romance) ': 9, 'Fantasy (Paranormal) ': 5, 'Adult Fiction (Erotica) ': 3, 'Fantasy': 3, 'Romance (Paranormal Romance) ': 3, 'Audiobook': 2, 'Fantasy (Supernatural) ': 2}",https://www.goodreads.com/book/show/50730552-the-alien-s-ransom
A Wolvenk Holiday,B082RWG1NZ,Poppy Rhys,None,3.87,658,66,2019,"{'Science Fiction (Aliens) ': 26, 'Science Fiction': 22, 'Romance': 16, 'Short Stories': 4, 'Holiday': 4, 'Romance (Science Fiction Romance) ': 4, 'Romance (Paranormal Romance) ': 3, 'Animals (Wolves) ': 3, 'Shapeshifters (Werewolves) ': 3, 'Holiday (Christmas) ': 2}",https://www.goodreads.com/book/show/49249225-a-wolvenk-holiday
A Son for the Alien Warrior,B081885LVV,Honey Phillips,English,4.19,2934,170,2019,"{'Science Fiction (Aliens) ': 26, 'Science Fiction': 19, 'Romance': 16, 'Romance (Science Fiction Romance) ': 7, 'Romance (Paranormal Romance) ': 4, 'Fantasy (Paranormal) ': 4, 'Fantasy': 3, 'Adult Fiction (Erotica) ': 2, 'Romance (M F Romance) ': 2}",https://www.goodreads.com/book/show/48756980-a-son-for-the-alien-warrior
The Monarch's Mate,"The Monarch's Mate (House Of Kaimar, #2)",Miranda Bridges,English,4.12,1646,113,2019,"{'Science Fiction (Aliens) ': 26, 'Romance': 19, 'Science Fiction': 16, 'Fantasy (Paranormal) ': 8, 'Romance (Science Fiction Romance) ': 6, 'Romance (Paranormal Romance) ': 5, 'Adult Fiction (Erotica) ': 5, 'Fiction': 2, 'Adult': 2, 'Space': 2}",https://www.goodreads.com/book/show/48510595-the-monarch-s-mate
Prince's Master,B089YN1KWD,Alessandra Hazard,English,4.28,1944,301,2020,"{'Romance (M M Romance) ': 83, 'Fantasy': 77, 'Science Fiction': 52, 'Romance': 49, 'Science Fiction (Aliens) ': 26, 'LGBT': 20, 'Fantasy (Paranormal) ': 14, 'Adult Fiction (Erotica) ': 10, 'Adult': 9, 'Fantasy (Magic) ': 8}",https://www.goodreads.com/book/show/53951435-prince-s-master
Hunger,Alpha Hunger,Milana Jacks,English,3.95,1309,126,2019,"{'Paranormal (Omegaverse) ': 28, 'Science Fiction (Aliens) ': 26, 'Science Fiction': 25, 'Romance': 17, 'Fantasy (Paranormal) ': 8, 'Adult Fiction (Erotica) ': 6, 'Fantasy': 6, 'Science Fiction (Dystopia) ': 5, 'Romance (Science Fiction Romance) ': 4, 'Futuristic': 3}",https://www.goodreads.com/book/show/45430023-hunger
Human Omega: Babied by His Guardian Mates,B07RYQQ41X,Eileen Glass,English,4.27,705,91,2019,"{'Science Fiction': 34, 'Science Fiction (Aliens) ': 26, 'Romance (M M Romance) ': 24, 'Erotica (Menage) ': 19, 'Romance': 18, 'Menage (M M M) ': 16, 'Paranormal (Omegaverse) ': 11, 'LGBT': 10, 'Romance (Science Fiction Romance) ': 6, 'Polyamory': 5}",https://www.goodreads.com/book/show/45899116-human-omega
Home World,"Home World (Galactic Order, #2)",Erin Raegan,English,4.25,1475,174,2018,"{'Science Fiction (Aliens) ': 26, 'Science Fiction': 23, 'Romance': 22, 'Romance (Science Fiction Romance) ': 7, 'Fantasy (Paranormal) ': 5, 'Romance (Paranormal Romance) ': 4, 'Fantasy': 4, 'Adult Fiction (Erotica) ': 3, 'Suspense': 2, 'Humor': 2}",https://www.goodreads.com/book/show/42615481-home-world
Mastered By Her Mates,Mastered By Her Mates,Grace  Goodwin,English,3.92,2504,227,2016,"{'Romance': 62, 'Science Fiction': 48, 'Erotica (Menage) ': 43, 'Adult Fiction (Erotica) ': 41, 'Science Fiction (Aliens) ': 26, 'Erotica (BDSM) ': 23, 'Fantasy': 17, 'Fantasy (Paranormal) ': 17, 'Romance (Paranormal Romance) ': 13, 'Romance (Erotic Romance) ': 13}",https://www.goodreads.com/book/show/31804430-mastered-by-her-mates
Fire In His Spirit,B07FJV642N,Ruby Dixon,English,3.94,2754,263,2018,"{'Romance': 70, 'Fantasy (Dragons) ': 66, 'Fantasy': 51, 'Romance (Paranormal Romance) ': 45, 'Fantasy (Paranormal) ': 35, 'Science Fiction': 35, 'Paranormal (Shapeshifters) ': 34, 'Science Fiction (Aliens) ': 26, 'Science Fiction (Dystopia) ': 20, 'Apocalyptic (Post Apocalyptic) ': 18}",https://www.goodreads.com/book/show/40790825-fire-in-his-spirit
Her Cold-Blooded Protector,B07D2H3NX6,Lea Linnett,English,3.95,721,70,2018,"{'Science Fiction (Aliens) ': 26, 'Science Fiction': 22, 'Romance': 12, 'Romance (Science Fiction Romance) ': 5, 'Romance (Paranormal Romance) ': 4, 'Futuristic': 4, 'Apocalyptic (Post Apocalyptic) ': 4, 'Adult Fiction (Erotica) ': 2, 'Adventure (Survival) ': 2}",https://www.goodreads.com/book/show/40120144-her-cold-blooded-protector
Oath Forger 1,B079M5TB6R,Nia Mars,None,3.83,1078,114,2018,"{'Polyamorous (Reverse Harem) ': 79, 'Science Fiction': 40, 'Science Fiction (Aliens) ': 26, 'Romance': 21, 'Fantasy': 10, 'Romance (Science Fiction Romance) ': 7, 'Science Fiction (Dystopia) ': 6, 'Apocalyptic (Post Apocalyptic) ': 6, 'Fantasy (Paranormal) ': 5, 'Adult': 4}",https://www.goodreads.com/book/show/38393522-oath-forger-1
The Lost Savior,The Lost Savior,Siobhan Davis,English,4.05,2217,304,2018,"{'Polyamorous (Reverse Harem) ': 95, 'Science Fiction (Aliens) ': 26, 'Fantasy': 20, 'Science Fiction': 19, 'Romance': 18, 'Fantasy (Paranormal) ': 15, 'New Adult': 13, 'Romance (Paranormal Romance) ': 13, 'Young Adult': 12, 'Romance (Science Fiction Romance) ': 6}",https://www.goodreads.com/book/show/38106289-the-lost-savior
Fire In His Embrace, Fire in His Embrace ,Ruby Dixon,English,4.06,4673,418,2017,"{'Fantasy (Dragons) ': 129, 'Romance': 113, 'Fantasy': 90, 'Romance (Paranormal Romance) ': 89, 'Fantasy (Paranormal) ': 71, 'Paranormal (Shapeshifters) ': 54, 'Science Fiction': 36, 'Science Fiction (Dystopia) ': 33, 'Apocalyptic (Post Apocalyptic) ': 30, 'Science Fiction (Aliens) ': 26}",https://www.goodreads.com/book/show/36044595-fire-in-his-embrace
Bond,B01KJ7K9V8,Tasha Black,English,3.61,1467,218,2016,"{'Romance': 45, 'Science Fiction': 30, 'Science Fiction (Aliens) ': 26, 'Fantasy (Paranormal) ': 16, 'Fantasy': 11, 'Romance (Paranormal Romance) ': 9, 'Romance (Science Fiction Romance) ': 7, 'Adult Fiction (Erotica) ': 6, 'Adult': 6, 'Business (Amazon) ': 5}",https://www.goodreads.com/book/show/31945839-bond
Marauder Cygnus,B01GZ7IMJC,Aya Morningstar,English,3.6,669,106,2016,"{'Science Fiction (Aliens) ': 26, 'Science Fiction': 25, 'Romance': 15, 'Fantasy (Paranormal) ': 14, 'Fantasy': 8, 'Paranormal (Shapeshifters) ': 7, 'Romance (Science Fiction Romance) ': 6, 'Romance (Paranormal Romance) ': 5, 'Humor': 4, 'Adult Fiction (Erotica) ': 4}",https://www.goodreads.com/book/show/30529792-marauder-cygnus
Flying,"
                  076533657X
                      (ISBN13: 9780765336576)
",Carrie Jones,English,3.29,399,113,2016,"{'Science Fiction': 34, 'Young Adult': 33, 'Science Fiction (Aliens) ': 26, 'Young Adult (Teen) ': 9, 'Fiction': 7, 'Humor': 6, 'Fantasy': 5, 'Contemporary': 5, 'Sports (Sports) ': 4, 'Romance': 4}",https://www.goodreads.com/book/show/26114232-flying
Saven Deception,Saven Deception,Siobhan Davis,English,4.01,1222,272,2015,"{'Young Adult': 42, 'Science Fiction': 38, 'Romance': 33, 'Science Fiction (Dystopia) ': 32, 'Science Fiction (Aliens) ': 26, 'Fantasy': 21, 'Fantasy (Paranormal) ': 12, 'Business (Amazon) ': 9, 'Romance (Paranormal Romance) ': 5, 'Fiction': 4}",https://www.goodreads.com/book/show/42510024-saven-deception
The Last Girl on Earth,Virgo (working title only),Alexandra Blogier,None,3.11,1095,261,2018,"{'Science Fiction': 61, 'Young Adult': 50, 'Romance': 37, 'Science Fiction (Aliens) ': 26, 'Science Fiction (Dystopia) ': 19, 'Fiction': 11, 'Young Adult (Teen) ': 6, 'Science Fiction Fantasy': 3, 'Space': 3, 'Audiobook': 3}",https://www.goodreads.com/book/show/35553569-the-last-girl-on-earth
Alien Commander's Chosen,English,Celia Kyle,English,4.11,1458,174,2015,"{'Science Fiction': 36, 'Science Fiction (Aliens) ': 26, 'Romance': 21, 'Romance (Science Fiction Romance) ': 15, 'Fantasy (Paranormal) ': 7, 'Humor': 6, 'Futuristic': 6, 'Fantasy': 5, 'Romance (Paranormal Romance) ': 5, 'Adult Fiction (Erotica) ': 3}",https://www.goodreads.com/book/show/25454481-alien-commander-s-chosen
To Catch A Warrior,B00YBFUZ50,C.L. Scholey,English,4.11,650,34,2015,"{'Science Fiction (Aliens) ': 26, 'Science Fiction': 18, 'Romance': 16, 'Romance (Science Fiction Romance) ': 5, 'Futuristic': 4, 'Space': 3, 'Fantasy (Paranormal) ': 3, 'Adult Fiction (Erotica) ': 2, 'Paranormal (Shapeshifters) ': 2, 'Fantasy': 2}",https://www.goodreads.com/book/show/25617445-to-catch-a-warrior
Salvaging Toby's Heart,English,Lexi Ander,English,3.91,395,73,2015,"{'Science Fiction': 52, 'Romance (M M Romance) ': 47, 'Science Fiction (Aliens) ': 26, 'Romance': 21, 'Fantasy': 10, 'War (Military Fiction) ': 8, 'Novella': 6, 'Adult Fiction (Erotica) ': 6, 'Short Stories': 6, 'LGBT': 4}",https://www.goodreads.com/book/show/25692491-salvaging-toby-s-heart
A Darkling Sea,A Darkling Sea,James L. Cambias,English,3.75,2320,399,2014,"{'Science Fiction': 263, 'Fiction': 47, 'Science Fiction (Aliens) ': 26, 'Space': 12, 'Adventure': 9, 'Science Fiction Fantasy': 9, 'Space (Space Opera) ': 7, 'Speculative Fiction': 6, 'Audiobook': 5, 'Novels': 4}",https://www.goodreads.com/book/show/17934480-a-darkling-sea
Alien Savior,"
                  1489570993
                      (ISBN13: 9781489570994)
",Nicole Krizek,English,3.55,628,45,2013,"{'Science Fiction': 32, 'Erotica (Menage) ': 27, 'Science Fiction (Aliens) ': 26, 'Romance': 11, 'Romance (Science Fiction Romance) ': 11, 'Adult Fiction (Erotica) ': 11, 'Menage (M M F) ': 9, 'Romance (M M Romance) ': 5, 'Menage (M F M) ': 4, 'Fantasy': 3}",https://www.goodreads.com/book/show/18374782-alien-savior
Return to Paradise,"
                  0062287664
                      (ISBN13: 9780062287663)
",Pittacus Lore,English,3.99,3701,173,2014,"{'Young Adult': 72, 'Science Fiction': 51, 'Fantasy': 41, 'Science Fiction (Aliens) ': 26, 'Fiction': 23, 'Short Stories': 18, 'Novella': 16, 'Young Adult (Teen) ': 9, 'Fantasy (Paranormal) ': 9, 'Adventure': 8}",https://www.goodreads.com/book/show/18053087-return-to-paradise
Secret Histories,"
                  0062223674
                      (ISBN13: 9780062223678)
",Pittacus Lore,English,4.27,3356,209,2013,"{'Young Adult': 65, 'Science Fiction': 55, 'Fantasy': 43, 'Science Fiction (Aliens) ': 26, 'Short Stories': 17, 'Fiction': 15, 'Novella': 10, 'Adventure': 9, 'Young Adult (Teen) ': 8, 'Fantasy (Paranormal) ': 7}",https://www.goodreads.com/book/show/16065725-secret-histories
Push,"
                  0062192213
                      (ISBN13: 9780062192219)
",Eve Silver,English,4.09,2022,216,2014,"{'Young Adult': 72, 'Science Fiction': 50, 'Fantasy': 33, 'Science Fiction (Aliens) ': 26, 'Science Fiction (Dystopia) ': 21, 'Romance': 19, 'Fantasy (Paranormal) ': 9, 'Fiction': 6, 'Adventure': 5, 'Young Adult (Young Adult Science Fiction) ': 4}",https://www.goodreads.com/book/show/17667947-push
Rage,B00BYKXDOK,K.D. Jones,English,3.7,715,41,2013,"{'Science Fiction': 27, 'Science Fiction (Aliens) ': 26, 'Romance': 10, 'Romance (Paranormal Romance) ': 7, 'Warfare (Fighters) ': 6, 'Mystery': 5, 'Romance (M F Romance) ': 5, 'Fantasy (Paranormal) ': 5, 'Adult Fiction (Erotica) ': 4, 'Sports (Sports) ': 4}",https://www.goodreads.com/book/show/17376877-rage
Breakers,B007712HM4,Edward W. Robertson,English,3.66,5108,480,2012,"{'Science Fiction': 110, 'Apocalyptic (Post Apocalyptic) ': 67, 'Fiction': 55, 'Science Fiction (Dystopia) ': 47, 'Science Fiction (Apocalyptic) ': 37, 'Horror': 28, 'Science Fiction (Aliens) ': 26, 'Thriller': 23, 'Fantasy': 17, 'Audiobook': 12}",https://www.goodreads.com/book/show/13485992-breakers
Captive Surrender,B00A73ZE6K,Angela Castle,None,3.5,780,42,2012,"{'Science Fiction (Aliens) ': 26, 'Science Fiction': 25, 'Adult Fiction (Erotica) ': 13, 'Romance': 9, 'Romance (Science Fiction Romance) ': 8, 'Fantasy': 6, 'Romance (M F Romance) ': 6, 'Fantasy (Paranormal) ': 5, 'Romance (Paranormal Romance) ': 4, 'Fantasy (Supernatural) ': 2}",https://www.goodreads.com/book/show/16161633-captive-surrender
Who Goes There,Who Goes There?  ,John W. Campbell Jr.,English,3.86,6947,712,1938,"{'Horror': 383, 'Science Fiction': 299, 'Fiction': 119, 'Classics': 67, 'Short Stories': 41, 'Science Fiction (Aliens) ': 26, 'Novella': 23, 'Thriller': 19, 'Audiobook': 15, 'Fantasy': 11}",https://www.goodreads.com/book/show/6468870-who-goes-there
Alien vs. Alien,Alien vs. Alien ,Gini Koch,English,4.2,1369,128,2012,"{'Science Fiction': 65, 'Fantasy (Urban Fantasy) ': 30, 'Romance': 30, 'Science Fiction (Aliens) ': 26, 'Fantasy': 20, 'Romance (Paranormal Romance) ': 12, 'Humor': 9, 'Romance (Science Fiction Romance) ': 8, 'Contemporary': 6, 'Mystery': 5}",https://www.goodreads.com/book/show/13096596-alien-vs-alien
Enslaved,Enslaved,Jaid Black,English,3.89,2156,54,2001,"{'Adult Fiction (Erotica) ': 77, 'Science Fiction': 40, 'Romance': 35, 'Science Fiction (Aliens) ': 26, 'Fantasy': 21, 'Romance (Erotic Romance) ': 19, 'Fantasy (Paranormal) ': 16, 'Romance (Science Fiction Romance) ': 15, 'Romance (Paranormal Romance) ': 12, 'Futuristic': 11}",https://www.goodreads.com/book/show/1054581.Enslaved
Beegu,Beegu,Alexis Deacon,English,4.22,1552,296,2003,"{'Childrens (Picture Books) ': 333, 'Science Fiction (Aliens) ': 26, 'Childrens': 23, 'Family': 17, 'Adventure': 13, 'Space': 12, 'Science Fiction': 12, 'Fantasy': 12, 'Fiction': 11, 'Animals': 8}",https://www.goodreads.com/book/show/1362489.Beegu
The Man Who Fell to Earth,The Man Who Fell to Earth,Walter Tevis,English,4.05,7351,766,1963,"{'Science Fiction': 443, 'Fiction': 173, 'Classics': 66, 'Science Fiction (Aliens) ': 26, 'Science Fiction Fantasy': 25, 'Novels': 18, 'Fantasy': 17, 'Speculative Fiction': 16, 'Literature': 10, 'Literature (American) ': 9}",https://www.goodreads.com/book/show/396329.The_Man_Who_Fell_to_Earth
Resisting Rachel,B005KT0ROA,Angela Castle,English,3.75,838,28,2011,"{'Science Fiction (Aliens) ': 26, 'Science Fiction': 21, 'Romance': 17, 'Adult Fiction (Erotica) ': 12, 'Romance (Science Fiction Romance) ': 11, 'Romance (Paranormal Romance) ': 5, 'Fantasy (Paranormal) ': 4, 'Fantasy': 4, 'Futuristic': 3, 'Fantasy (Supernatural) ': 2}",https://www.goodreads.com/book/show/12504180-resisting-rachel
Details of the Hunt,Details of the Hunt,Laura Baumbach,English,3.83,1043,101,2006,"{'Romance (M M Romance) ': 96, 'Science Fiction': 62, 'Romance': 36, 'Science Fiction (Time Travel) ': 32, 'Science Fiction (Aliens) ': 26, 'Fantasy': 23, 'Adventure (Pirates) ': 17, 'Futuristic': 15, 'Adult Fiction (Erotica) ': 14, 'Historical': 11}",https://www.goodreads.com/book/show/426545.Details_of_the_Hunt
Midnight Awakening,Midnight Awakening ,Lara Adrian,English,4.23,41567,1128,2007,"{'Romance (Paranormal Romance) ': 810, 'Paranormal (Vampires) ': 679, 'Fantasy (Paranormal) ': 677, 'Romance': 476, 'Fantasy': 194, 'Fantasy (Urban Fantasy) ': 116, 'Adult': 86, 'Fiction': 64, 'Fantasy (Supernatural) ': 50, 'Contemporary': 38}",https://www.goodreads.com/book/show/1388813.Midnight_Awakening
Heir to the Empire,Heir to the Empire,Timothy Zahn,English,4.14,72500,3093,1991,"{'Media Tie In (Star Wars) ': 3652, 'Science Fiction': 1920, 'Fiction': 798, 'Fantasy': 436, 'Space (Space Opera) ': 194, 'Science Fiction Fantasy': 145, 'Audiobook': 110, 'Adventure': 94, 'Novels': 62, 'Space': 57}",https://www.goodreads.com/book/show/40604754-heir-to-the-empire
The Hork-Bajir Chronicles,The Hork-Bajir Chronicles,K.A. Applegate,English,4.14,3178,127,1998,"{'Science Fiction': 122, 'Young Adult': 86, 'Fiction': 64, 'Fantasy': 38, 'Childrens': 33, 'Science Fiction (Aliens) ': 26, 'Childrens (Middle Grade) ': 24, 'Adventure': 12, 'Animals': 11, 'Romance': 8}",https://www.goodreads.com/book/show/363354.The_Hork_Bajir_Chronicles
The Suspicion,The Suspicion,K.A. Applegate,English,3.62,2723,106,1998,"{'Science Fiction': 100, 'Young Adult': 71, 'Fiction': 48, 'Fantasy': 36, 'Childrens': 27, 'Science Fiction (Aliens) ': 26, 'Childrens (Middle Grade) ': 21, 'Animals': 15, 'Adventure': 13, 'Paranormal (Shapeshifters) ': 7}",https://www.goodreads.com/book/show/363350.The_Suspicion
The Secret,The Secret,K.A. Applegate,English,3.71,4339,165,1997,"{'Science Fiction': 140, 'Young Adult': 108, 'Fiction': 84, 'Fantasy': 60, 'Childrens': 41, 'Childrens (Middle Grade) ': 37, 'Science Fiction (Aliens) ': 26, 'Animals': 23, 'Adventure': 17, 'War': 7}",https://www.goodreads.com/book/show/363362.The_Secret
Hara's Legacy,Hara's Legacy,Bianca D'Arc,English,3.71,1219,69,2007,"{'Erotica (Menage) ': 68, 'Adult Fiction (Erotica) ': 53, 'Science Fiction': 48, 'Romance': 45, 'Science Fiction (Aliens) ': 26, 'Fantasy (Paranormal) ': 25, 'Futuristic': 16, 'Romance (Paranormal Romance) ': 15, 'Fantasy': 12, 'Adult': 10}",https://www.goodreads.com/book/show/2012171.Hara_s_Legacy
Mission: Planet Biter,Mission: Planet Biter,Laurann Dohner,English,4.21,926,90,2020,"{'Science Fiction (Aliens) ': 25, 'Science Fiction': 15, 'Romance': 12, 'Fantasy (Paranormal) ': 8, 'Paranormal (Shapeshifters) ': 7, 'Romance (Science Fiction Romance) ': 5, 'Fantasy': 5, 'Romance (Paranormal Romance) ': 3, 'Futuristic': 3, 'Adult Fiction (Erotica) ': 2}",https://www.goodreads.com/book/show/55880906-mission
When She Belongs,B08HXGTT59,Ruby Dixon,English,4.38,1446,169,2020,"{'Science Fiction': 33, 'Romance': 28, 'Science Fiction (Aliens) ': 25, 'Romance (Science Fiction Romance) ': 6, 'Fantasy (Paranormal) ': 5, 'Fantasy': 4, 'Romance (Paranormal Romance) ': 3, 'Futuristic': 3, 'Romance (M F Romance) ': 3, 'Science Fiction Fantasy': 2}",https://www.goodreads.com/book/show/55339584-when-she-belongs
Ice Planet Honeymoon: Raahosh & Liz,B07X6RJM8R,Ruby Dixon,English,4.06,1249,119,2019,"{'Romance': 38, 'Science Fiction': 30, 'Science Fiction (Aliens) ': 25, 'Novella': 14, 'Adult Fiction (Erotica) ': 11, 'Adult': 8, 'Romance (Paranormal Romance) ': 7, 'Fantasy (Paranormal) ': 7, 'Fantasy': 6, 'Romance (Science Fiction Romance) ': 6}",https://www.goodreads.com/book/show/49452335-ice-planet-honeymoon
The Alien Assassin's Convenient Wife,The Alien Assassin's Convenient Wife,Ruby Dixon,English,3.86,1189,108,2018,"{'Science Fiction': 28, 'Romance': 25, 'Science Fiction (Aliens) ': 25, 'Novella': 11, 'Romance (Science Fiction Romance) ': 9, 'Adult Fiction (Erotica) ': 6, 'Fantasy (Paranormal) ': 5, 'Romance (Paranormal Romance) ': 4, 'Fantasy': 4, 'Contemporary': 3}",https://www.goodreads.com/book/show/40954669-the-alien-assassin-s-convenient-wife
Fire in His Fury,Fire in His Fury,Ruby Dixon,English,4.05,4060,347,2018,"{'Fantasy (Dragons) ': 106, 'Romance': 104, 'Fantasy': 75, 'Romance (Paranormal Romance) ': 74, 'Fantasy (Paranormal) ': 53, 'Paranormal (Shapeshifters) ': 45, 'Science Fiction': 28, 'Apocalyptic (Post Apocalyptic) ': 27, 'Science Fiction (Dystopia) ': 26, 'Science Fiction (Aliens) ': 25}",https://www.goodreads.com/book/show/37917471-fire-in-his-fury
Beast,B076ZNRS1M,Anna Hackett,English,4.32,1573,140,2017,"{'Romance': 33, 'Science Fiction (Aliens) ': 25, 'Science Fiction': 20, 'Romance (Science Fiction Romance) ': 14, 'Romance (Paranormal Romance) ': 9, 'Fantasy (Paranormal) ': 9, 'Fantasy': 7, 'Action': 5, 'Romance (Erotic Romance) ': 4, 'Adult Fiction (Erotica) ': 4}",https://www.goodreads.com/book/show/36552751-beast
Pregnant by the Alien Healer,B075VN7B1K,Mina Carter,English,4.27,1423,124,2017,"{'Romance': 27, 'Science Fiction': 25, 'Science Fiction (Aliens) ': 25, 'Romance (Science Fiction Romance) ': 12, 'Fantasy (Paranormal) ': 10, 'Adult Fiction (Erotica) ': 7, 'Romance (Paranormal Romance) ': 5, 'Adult': 4, 'Fantasy': 3, 'War (Military Fiction) ': 3}",https://www.goodreads.com/book/show/36289717-pregnant-by-the-alien-healer
The New Guy,B074J9S2B3,V.C. Lancaster,English,3.76,615,60,2017,"{'Science Fiction (Aliens) ': 25, 'Romance': 23, 'Science Fiction': 21, 'Romance (Science Fiction Romance) ': 7, 'Futuristic': 3, 'Romance (M F Romance) ': 2, 'Adult Fiction (Erotica) ': 2, 'Fantasy (Paranormal) ': 2, 'Fantasy': 2, 'Romance (Paranormal Romance) ': 2}",https://www.goodreads.com/book/show/35905642-the-new-guy
Beyond the Red,"
                  1634506448
                      (ISBN13: 9781634506441)
",Ava  Jae,English,3.78,869,283,2016,"{'Science Fiction': 92, 'Young Adult': 80, 'Fantasy': 53, 'Romance': 27, 'Science Fiction (Aliens) ': 25, 'Science Fiction (Dystopia) ': 14, 'Young Adult (Young Adult Science Fiction) ': 10, 'Space': 9, 'Fiction': 8, 'Science Fiction Fantasy': 6}",https://www.goodreads.com/book/show/25898435-beyond-the-red
